Row Labels,Sum of placed_gmv,Count of Years (order_date)
Qtr4,4176.9,1
5afd56d,250.32,1
Qtr4,250.32,1
5c44244,250.32,1
Qtr4,250.32,1
5d45637,4166.7,1
Qtr4,4166.7,1
5fb4b45,1001.28,1
Qtr4,1001.28,1
5fc1446,1501.92,1
Qtr4,1501.92,1
5fe7fb2,1741.8,3
Qtr4,1741.8,3
60c80ac,492.96,1
Qtr4,492.96,1
62fcfb2,500.64,1
Qtr4,500.64,1
65137ca,500.64,1
Qtr4,500.64,1
65a65ad,1494.24,2
Qtr4,1494.24,2
66b8425,248.52,1
Qtr4,248.52,1
69c20db,248.52,1
Qtr4,248.52,1
6a538f2,1951.68,1
Qtr4,1951.68,1
6b21d3c,500.64,1
Qtr4,500.64,1
6c1832b,985.92,1
Qtr4,985.92,1
6c18cb0,1001.28,1
Qtr4,1001.28,1
6cac10b,250.32,1
Qtr4,250.32,1
6cf231c,250.32,1
Qtr4,250.32,1
6d64e55,1944,1
Qtr4,1944,1
6f9af22,972,1
Qtr4,972,1
7000aff,492.96,1
Qtr4,492.96,1
707649e,250.32,1
Qtr4,250.32,1
70a87ab,492.96,1
Qtr4,492.96,1
70d50a0,7862.4,1
Qtr4,7862.4,1
7139a72,250.32,1
Qtr4,250.32,1
71970c8,487.92,1
Qtr4,487.92,1
71a739b,248.52,1
Qtr4,248.52,1
71bfec4,972,1
Qtr4,972,1
727f2d8,1951.68,1
Qtr4,1951.68,1
730d70e,492.96,1
Qtr4,492.96,1
764783f,500.64,1
Qtr4,500.64,1
76bbc83,251.1,1
Qtr4,251.1,1
780c024,972,1
Qtr4,972,1
785d67c,500.64,1
Qtr4,500.64,1
78e5fc0,487.92,1
Qtr4,487.92,1
78f520e,2002.56,1
Qtr4,2002.56,1
7b0fd3d,1001.28,1
Qtr4,1001.28,1
7b14d92,250.32,1
Qtr4,250.32,1
7c5760f,248.64,1
Qtr4,248.64,1
7c60166,248.52,1
Qtr4,248.52,1
7c6ea44,500.64,1
Qtr4,500.64,1
7d4ab1d,500.64,1
Qtr4,500.64,1
7e26207,501.42,2
Qtr4,501.42,2
7eb564b,492.96,1
Qtr4,492.96,1
7ec2f05,250.32,1
Qtr4,250.32,1
7f09279,250.32,1
Qtr4,250.32,1
8263f80,975.84,1
Qtr4,975.84,1
82fdfad,494.28,1
Qtr4,494.28,1
830db65,250.32,1
Qtr4,250.32,1
8386d81,250.32,1
Qtr4,250.32,1
83ad9b9,492.96,1
Qtr4,492.96,1
84cd0c0,972,1
Qtr4,972,1
85a816a,500.64,1
Qtr4,500.64,1
86234b5,3003.84,1
Qtr4,3003.84,1
86b6a8b,980.88,2
Qtr4,980.88,2
873ecda,500.64,1
Qtr4,500.64,1
874fcd0,1001.28,1
Qtr4,1001.28,1
87e69c2,750.96,1
Qtr4,750.96,1
880111b,250.32,1
Qtr4,250.32,1
881559d,247.14,1
Qtr4,247.14,1
88f6e25,972,1
Qtr4,972,1
890db83,494.28,1
Qtr4,494.28,1
8a8755d,500.64,1
Qtr4,500.64,1
